Year,Period,Value
2024,M11,148.7
2024,M10,148.7
2024,M09,147.3
2024,M08,148.2
2024,M07,149.2
2024,M06,148.4
2024,M05,148.8
2024,M04,149.8
2024,M03,148.8
2024,M02,148.6
2024,M01,147.5
2023,M12,146.5
2023,M11,147.5
2023,M10,148.6
2023,M09,150.0
2023,M08,149.2
2023,M07,147.5
2023,M06,147.0
2023,M05,147.9
2023,M04,151.0
2023,M03,151.1
2023,M02,151.7
2023,M01,151.1
2022,M12,150.8
2022,M11,155.4
2022,M10,156.0
2022,M09,156.8
2022,M08,158.3
2022,M07,160.5
2022,M06,166.7
2022,M05,164.9
2022,M04,160.6
2022,M03,159.0
2022,M02,153.0
2022,M01,148.2
2021,M12,144.2
2021,M11,146.5
2021,M10,145.5
2021,M09,142.8
2021,M08,142.4
2021,M07,142.1
2021,M06,140.6
2021,M05,139.0
2021,M04,135.9
2021,M03,134.3
2021,M02,131.0
2021,M01,128.9
2020,M12,125.5
2020,M11,124.0
2020,M10,123.0
2020,M09,122.8
2020,M08,122.1
2020,M07,121.5
2020,M06,120.3
2020,M05,118.2
2020,M04,118.2
2020,M03,122.5
2020,M02,124.3
2020,M01,125.8
2019,M12,125.0
2019,M11,125.2
2019,M10,125.1
2019,M09,125.1
2019,M08,125.5
2019,M07,126.2
2019,M06,126.0
2019,M05,126.7
2019,M04,127.1
2019,M03,127.0
2019,M02,126.1
2019,M01,125.3
