Year,Period,Value
2025,M06,141.3
2025,M05,141.2
2025,M04,141.8
2025,M03,141.6
2025,M02,142.1
2025,M01,141.8
2024,M12,141.4
2024,M11,141.3
2024,M10,141.1
2024,M09,140.9
2024,M08,141.4
2024,M07,141.8
2024,M06,141.6
2024,M05,141.5
2024,M04,141.7
2024,M03,140.5
2024,M02,139.7
2024,M01,139.4
2023,M12,138.4
2023,M11,139.4
2023,M10,140.1
2023,M09,141.0
2023,M08,140.3
2023,M07,139.4
2023,M06,139.4
2023,M05,139.7
2023,M04,140.3
2023,M03,139.9
2023,M02,141.0
2023,M01,141.3
2022,M12,141.8
2022,M11,141.6
2022,M10,142.7
2022,M09,143.1
2022,M08,144.6
2022,M07,146.4
2022,M06,148.5
2022,M05,148.2
2022,M04,147.5
2022,M03,146.8
2022,M02,142.6
2022,M01,140.1
2021,M12,137.4
2021,M11,137.9
2021,M10,136.9
2021,M09,134.9
2021,M08,134.3
2021,M07,134.6
2021,M06,134.2
2021,M05,132.8
2021,M04,131.1
2021,M03,129.9
2021,M02,128.0
2021,M01,126.5
2020,M12,124.6
2020,M11,123.4
2020,M10,123.3
2020,M09,123.4
2020,M08,123.2
2020,M07,122.1
2020,M06,120.6
2020,M05,119.0
2020,M04,118.2
2020,M03,121.3
2020,M02,124.3
2020,M01,125.2
2019,M12,125.0
2019,M11,124.7
2019,M10,124.5
2019,M09,125.0
2019,M08,124.9
2019,M07,125.6
2019,M06,125.6
2019,M05,127.0
2019,M04,126.8
2019,M03,126.6
2019,M02,125.9
2019,M01,124.6
2018,M12,124.4
2018,M11,126.2
2018,M10,128.3
2018,M09,127.7
2018,M08,127.6
2018,M07,128.1
2018,M06,128.2
2018,M05,128.2
2018,M04,127.1
2018,M03,126.5
2018,M02,126.8
2018,M01,126.5
2017,M12,125.5
2017,M11,125.3
2017,M10,124.1
2017,M09,123.9
2017,M08,122.9
2017,M07,122.2
2017,M06,122.4
2017,M05,122.7
2017,M04,122.8
2017,M03,122.5
2017,M02,122.7
2017,M01,122.3
2016,M12,121.6
2016,M11,121.1
2016,M10,121.2
2016,M09,120.6
2016,M08,120.5
2016,M07,120.8
2016,M06,120.7
2016,M05,119.9
2016,M04,118.5
2016,M03,117.7
2016,M02,117.2
2016,M01,117.8
